Rented Bike Count,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),DateTime,Weekday,IsWeekend,Month,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Functioning Day_Yes,PCA_1,PCA_2
254,-1.5139572197432167,-1.042482884587357,0.4584758229286784,0.9258713477706347,-1.6596047002599583,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 00:00:00,4,0,12,False,False,True,True,True,563.5330017713427,-26.635902718345484
204,-1.5390741477467784,-0.9933699887973514,-0.8925614855615573,0.9258713477706347,-1.6596047002599583,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 01:00:00,4,0,12,False,False,True,True,True,563.5141965125763,-26.038979730628874
173,-1.5809356678045439,-0.9442570930073456,-0.6995561722115434,0.9258713477706347,-1.6672619178395023,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 02:00:00,4,0,12,False,False,True,True,True,563.4961030270317,-25.602017785379374
107,-1.5976802598587474,-0.8951441972173398,-0.796058857646585,0.9258713477706347,-1.6596047002599583,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 03:00:00,4,0,12,False,False,True,True,True,563.477365984633,-24.921765263348156
78,-1.5809356678045439,-1.0915957803773628,0.5549783933235817,0.9258713477706347,-1.7361765839568437,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 04:00:00,4,0,12,False,False,True,True,True,563.5544779857371,-28.248924564073207
100,-1.6144248918352073,-1.042482884587357,-0.21704286007647405,0.9258713477706347,-1.743833801536388,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 05:00:00,4,0,12,False,False,True,True,True,563.5361600757647,-27.758255144594315
181,-1.6311694838894109,-1.1407086761673686,-0.4100482309465571,0.9258713477706347,-1.8050912500741851,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 06:00:00,4,0,12,False,False,True,True,True,563.5753886285347,-29.708017862664242
460,-1.698147931950738,-0.9933699887973514,-0.796058857646585,0.9258713477706347,-1.789776814915097,-0.6551317161682965,-0.13179988373635532,-0.17189109245859688,2017-12-01 07:00:00,4,0,12,False,False,True,True,True,563.5193921896298,-27.806710582676274
930,-1.7148925240049415,-1.042482884587357,-0.603053486776502,0.9258713477706347,-1.8280627567635397,-0.6436202182000886,-0.13179988373635532,-0.17189109245859688,2017-12-01 08:00:00,4,0,12,False,False,True,True,True,563.5394082354117,-28.884285433922166
490,-1.622797187862309,-1.5336118424874146,-1.1820694843466129,0.807501690688713,-2.0271496835852973,-0.39036725217859664,-0.13179988373635532,-0.17189109245859688,2017-12-01 09:00:00,4,0,12,False,False,True,True,True,491.74428408204017,-38.02216074309315
339,-1.3716280675157173,-1.6809505298574319,-0.5065508013414604,0.919295255710528,-1.9352635107786016,0.09311564104429881,-0.13179988373635532,-0.17189109245859688,2017-12-01 10:00:00,4,0,12,False,False,True,True,True,559.7848677083796,-37.2085605160373
360,-1.1204589471691253,-1.8282892172274492,-0.4100482309465571,0.8206538748089266,-1.858691627081716,0.4269491142850824,-0.13179988373635532,-0.17189109245859688,2017-12-01 11:00:00,4,0,12,False,False,True,True,True,499.84815862716414,-38.38722991583417
449,-0.9362682549227322,-1.7300634256474376,-0.3135455455115156,0.9258713477706347,-1.6289759759910596,0.6226446033306366,-0.13179988373635532,-0.17189109245859688,2017-12-01 12:00:00,4,0,12,False,False,True,True,True,563.790863947949,-33.399475359752785
451,-0.8776621228496352,-1.631837634067426,-0.12054017464143252,0.9258713477706347,-1.5064609328661873,0.6802020395670854,-0.13179988373635532,-0.17189109245859688,2017-12-01 13:00:00,4,0,12,False,False,True,True,True,563.7489469174657,-30.782822715644038
